MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|IE(SEM)
12.01.2024 19:00 - 12.01.2024 20:00,255.5,BZN|IE(SEM),
12.01.2024 20:00 - 12.01.2024 21:00,195,BZN|IE(SEM),
12.01.2024 21:00 - 12.01.2024 22:00,133.81,BZN|IE(SEM),
12.01.2024 22:00 - 12.01.2024 23:00,112.25,BZN|IE(SEM),
12.01.2024 23:00 - 13.01.2024 00:00,104.92,BZN|IE(SEM),
13.01.2024 00:00 - 13.01.2024 01:00,117.44,BZN|IE(SEM),
13.01.2024 01:00 - 13.01.2024 02:00,109.31,BZN|IE(SEM),
13.01.2024 02:00 - 13.01.2024 03:00,109.31,BZN|IE(SEM),
13.01.2024 03:00 - 13.01.2024 04:00,109.31,BZN|IE(SEM),
13.01.2024 04:00 - 13.01.2024 05:00,106,BZN|IE(SEM),
13.01.2024 05:00 - 13.01.2024 06:00,104.05,BZN|IE(SEM),
13.01.2024 06:00 - 13.01.2024 07:00,90.81,BZN|IE(SEM),
13.01.2024 07:00 - 13.01.2024 08:00,91,BZN|IE(SEM),
13.01.2024 08:00 - 13.01.2024 09:00,92.75,BZN|IE(SEM),
13.01.2024 09:00 - 13.01.2024 10:00,103.6,BZN|IE(SEM),
13.01.2024 10:00 - 13.01.2024 11:00,113.27,BZN|IE(SEM),
13.01.2024 11:00 - 13.01.2024 12:00,113.8,BZN|IE(SEM),
13.01.2024 12:00 - 13.01.2024 13:00,116.9,BZN|IE(SEM),
13.01.2024 13:00 - 13.01.2024 14:00,113.8,BZN|IE(SEM),
13.01.2024 14:00 - 13.01.2024 15:00,113.8,BZN|IE(SEM),
13.01.2024 15:00 - 13.01.2024 16:00,107.77,BZN|IE(SEM),
13.01.2024 16:00 - 13.01.2024 17:00,114.46,BZN|IE(SEM),
13.01.2024 17:00 - 13.01.2024 18:00,137.02,BZN|IE(SEM),
13.01.2024 18:00 - 13.01.2024 19:00,192.15,BZN|IE(SEM),
13.01.2024 19:00 - 13.01.2024 20:00,176.17,BZN|IE(SEM),
13.01.2024 20:00 - 13.01.2024 21:00,136.52,BZN|IE(SEM),
13.01.2024 21:00 - 13.01.2024 22:00,113.68,BZN|IE(SEM),
13.01.2024 22:00 - 13.01.2024 23:00,103.35,BZN|IE(SEM),
13.01.2024 23:00 - 14.01.2024 00:00,102.86,BZN|IE(SEM),
14.01.2024 00:00 - 14.01.2024 01:00,105,BZN|IE(SEM),
14.01.2024 01:00 - 14.01.2024 02:00,107.72,BZN|IE(SEM),
14.01.2024 02:00 - 14.01.2024 03:00,107.68,BZN|IE(SEM),
14.01.2024 03:00 - 14.01.2024 04:00,105.72,BZN|IE(SEM),
14.01.2024 04:00 - 14.01.2024 05:00,104,BZN|IE(SEM),
14.01.2024 05:00 - 14.01.2024 06:00,100.72,BZN|IE(SEM),
14.01.2024 06:00 - 14.01.2024 07:00,89.64,BZN|IE(SEM),
14.01.2024 07:00 - 14.01.2024 08:00,90.06,BZN|IE(SEM),
14.01.2024 08:00 - 14.01.2024 09:00,92.18,BZN|IE(SEM),
14.01.2024 09:00 - 14.01.2024 10:00,94.89,BZN|IE(SEM),
14.01.2024 10:00 - 14.01.2024 11:00,101,BZN|IE(SEM),
14.01.2024 11:00 - 14.01.2024 12:00,118.34,BZN|IE(SEM),
14.01.2024 12:00 - 14.01.2024 13:00,122.5,BZN|IE(SEM),
14.01.2024 13:00 - 14.01.2024 14:00,125,BZN|IE(SEM),
14.01.2024 14:00 - 14.01.2024 15:00,118.45,BZN|IE(SEM),
14.01.2024 15:00 - 14.01.2024 16:00,104.01,BZN|IE(SEM),
14.01.2024 16:00 - 14.01.2024 17:00,107.82,BZN|IE(SEM),
14.01.2024 17:00 - 14.01.2024 18:00,120,BZN|IE(SEM),
14.01.2024 18:00 - 14.01.2024 19:00,135,BZN|IE(SEM),
14.01.2024 19:00 - 14.01.2024 20:00,124.1,BZN|IE(SEM),
14.01.2024 20:00 - 14.01.2024 21:00,96,BZN|IE(SEM),
14.01.2024 21:00 - 14.01.2024 22:00,90.32,BZN|IE(SEM),
14.01.2024 22:00 - 14.01.2024 23:00,85.95,BZN|IE(SEM),
14.01.2024 23:00 - 15.01.2024 00:00,80.09,BZN|IE(SEM),
15.01.2024 00:00 - 15.01.2024 01:00,87.4,BZN|IE(SEM),
15.01.2024 01:00 - 15.01.2024 02:00,83.79,BZN|IE(SEM),
15.01.2024 02:00 - 15.01.2024 03:00,82.04,BZN|IE(SEM),
15.01.2024 03:00 - 15.01.2024 04:00,77.43,BZN|IE(SEM),
15.01.2024 04:00 - 15.01.2024 05:00,77.07,BZN|IE(SEM),
15.01.2024 05:00 - 15.01.2024 06:00,77.43,BZN|IE(SEM),
15.01.2024 06:00 - 15.01.2024 07:00,84.93,BZN|IE(SEM),
15.01.2024 07:00 - 15.01.2024 08:00,91.53,BZN|IE(SEM),
15.01.2024 08:00 - 15.01.2024 09:00,98,BZN|IE(SEM),
15.01.2024 09:00 - 15.01.2024 10:00,101.9,BZN|IE(SEM),
15.01.2024 10:00 - 15.01.2024 11:00,108,BZN|IE(SEM),
15.01.2024 11:00 - 15.01.2024 12:00,106.84,BZN|IE(SEM),
15.01.2024 12:00 - 15.01.2024 13:00,130,BZN|IE(SEM),
