MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
10.06.2024 15:00 - 10.06.2024 16:00,65.88,EUR,
10.06.2024 16:00 - 10.06.2024 17:00,70,EUR,
10.06.2024 17:00 - 10.06.2024 18:00,81.2,EUR,
10.06.2024 18:00 - 10.06.2024 19:00,98.53,EUR,
10.06.2024 19:00 - 10.06.2024 20:00,118.59,EUR,
10.06.2024 20:00 - 10.06.2024 21:00,124.45,EUR,
10.06.2024 21:00 - 10.06.2024 22:00,113.32,EUR,
10.06.2024 22:00 - 10.06.2024 23:00,98.41,EUR,
10.06.2024 23:00 - 11.06.2024 00:00,77.76,EUR,
11.06.2024 00:00 - 11.06.2024 01:00,60.07,EUR,
11.06.2024 01:00 - 11.06.2024 02:00,56.96,EUR,
11.06.2024 02:00 - 11.06.2024 03:00,62.95,EUR,
11.06.2024 03:00 - 11.06.2024 04:00,55.82,EUR,
11.06.2024 04:00 - 11.06.2024 05:00,60.06,EUR,
11.06.2024 05:00 - 11.06.2024 06:00,59.11,EUR,
11.06.2024 06:00 - 11.06.2024 07:00,81.83,EUR,
11.06.2024 07:00 - 11.06.2024 08:00,100.26,EUR,
11.06.2024 08:00 - 11.06.2024 09:00,91.5,EUR,
11.06.2024 09:00 - 11.06.2024 10:00,68.27,EUR,
11.06.2024 10:00 - 11.06.2024 11:00,49.92,EUR,
11.06.2024 11:00 - 11.06.2024 12:00,32.13,EUR,
11.06.2024 12:00 - 11.06.2024 13:00,11.12,EUR,
11.06.2024 13:00 - 11.06.2024 14:00,0.76,EUR,
11.06.2024 14:00 - 11.06.2024 15:00,0,EUR,
11.06.2024 15:00 - 11.06.2024 16:00,0.03,EUR,
11.06.2024 16:00 - 11.06.2024 17:00,13.89,EUR,
11.06.2024 17:00 - 11.06.2024 18:00,55.27,EUR,
11.06.2024 18:00 - 11.06.2024 19:00,71.65,EUR,
11.06.2024 19:00 - 11.06.2024 20:00,100,EUR,
11.06.2024 20:00 - 11.06.2024 21:00,127.64,EUR,
11.06.2024 21:00 - 11.06.2024 22:00,122.37,EUR,
11.06.2024 22:00 - 11.06.2024 23:00,106.74,EUR,
11.06.2024 23:00 - 12.06.2024 00:00,90.82,EUR,
12.06.2024 00:00 - 12.06.2024 01:00,88.85,EUR,
12.06.2024 01:00 - 12.06.2024 02:00,85.35,EUR,
12.06.2024 02:00 - 12.06.2024 03:00,80.29,EUR,
